Method,Dataset,Recall Mean,Recall Std,Precision Mean,Precision Std
before_change,Hall,0.47792,0.06751201613959046,0.2173,0.027619163307714117
before_change,Kitchenham,0.1386,0.09603587292719783,0.06287,0.04264195662310144
before_change,Wahono,0.31666,0.08113988669033999,0.07766,0.01674298888393816
before_change,Radjenovic,0.45004,0.1271819598413663,0.04584,0.01129737611442175
PAR,Hall,0.84361,0.06560439979702026,0.00945,0.0009142530206997327
PAR,Kitchenham,0.77131,0.11238845828444999,0.01194,0.0017799103370902726
PAR,Wahono,0.77503,0.09894906913573409,0.00772,0.0009648363026488434
PAR,Radjenovic,0.81879,0.10382778038558842,0.00376,0.0004521553322083512
NBR,Hall,0.62078,0.06875804158662667,0.12464,0.014565435770752592
NBR,Kitchenham,0.28637,0.1391822912658798,0.03948,0.017008304566958583
NBR,Wahono,0.52301,0.0906117809585754,0.0581,0.008975274678557507
NBR,Radjenovic,0.54742,0.12591171991566635,0.0253,0.005196152422706632
NOR,Hall,1.0,0.0,0.00802,0.00014070529413628957
NOR,Kitchenham,1.0,0.0,0.009,0.0
NOR,Wahono,0.99967,0.003300000000000003,0.00426,0.00044084400227680805
NOR,Radjenovic,0.98388,0.027332328141162123,0.003,0.0
SK,Hall,0.8674757281553398,0.06800500769626097,0.0326,0.003648716392531943
SK,Kitchenham,0.6457873786407767,0.12238731325992361,0.01374,0.004751650430974676
SK,Wahono,0.870568932038835,0.0838190418128059,0.01067,0.0015377735446896839
SK,Radjenovic,0.6880825242718447,0.09880762396874998,0.00723,0.0018193960591916262
