Method,Dataset,Recall Mean,Recall Std,Precision Mean,Precision Std
before_change,Hall,0.81926,0.05630304367680958,0.02513,0.003512330372625082
before_change,Kitchenham,0.57681,0.1470721457673276,0.01964,0.005707553032268874
before_change,Wahono,0.8383700000000001,0.08370241358768599,0.01623,0.002522044224574
before_change,Radjenovic,0.73815,0.10570240051553927,0.01039,0.0014487542541400486
PAR,Hall,0.81926,0.05630304367680958,0.02517,0.0034990763572027624
PAR,Kitchenham,0.57604,0.1466639751819158,0.01964,0.005689827889676578
PAR,Wahono,0.83804,0.0835218377057005,0.01626,0.0025251062583902515
PAR,Radjenovic,0.73815,0.10570240051553927,0.0104,0.0014494861506789572
NBR,Hall,1.0,0.0,0.00896,0.00031526804372460483
NBR,Kitchenham,0.82371,0.14313109728532444,0.01265,0.005301753092948205
NBR,Wahono,0.98811,0.016629592097623252,0.00651,0.0008586458683722453
NBR,Radjenovic,0.90134,0.0858856674817625,0.00668,0.0024939522809785232
NOR,Hall,1.0,0.0,0.00816,0.0003684529491774703
NOR,Kitchenham,0.75452,0.3264605249389799,0.00773,0.003725031353674568
NOR,Wahono,0.98233,0.03774236293074348,0.0049700000000000005,0.0001714466079977653
NOR,Radjenovic,0.96637,0.056427419189288085,0.00299,0.0001
SK,Hall,0.871621359223301,0.0617251984812213,0.03245,0.0038726573237861813
SK,Kitchenham,0.618147572815534,0.12954491449494263,0.01296,0.004211384282603236
SK,Wahono,0.8763912621359223,0.07391173207676487,0.01096,0.00153688652867419
SK,Radjenovic,0.7141893203883495,0.10879885912808468,0.00763,0.0019830341001667727
