feature,score,rank
fault,0.035738040787409206,1
system,0.03451498961695115,2
use,0.031837552712067514,3
softwar,0.03102968566125018,4
model,0.02823256651488282,5
base,0.025728870268473376,6
paper,0.024788584526947197,7
test,0.02382571246187108,8
propos,0.02329758746912681,9
method,0.02286310316699751,10
detect,0.022824729961845744,11
result,0.021984630443355115,12
perform,0.02183336524851921,13
develop,0.021626596857259615,14
error,0.020785875866658005,15
data,0.02077066937924842,16
present,0.020713510258011627,17
approach,0.020413470970036728,18
qualiti,0.020370901273263946,19
applic,0.02006802175548358,20
process,0.019882522396324525,21
time,0.019814253321689918,22
design,0.019494641652137334,23
techniqu,0.019061414054898435,24
algorithm,0.017741773212956943,25
network,0.0173910761254089,26
analysi,0.01693393875656003,27
effect,0.01658803692797608,28
measur,0.016366573413288833,29
studi,0.01592196915837941,30
provid,0.015776579659869196,31
predict,0.015617009205019386,32
gener,0.015521267475403541,33
show,0.015420522384317027,34
improv,0.015310948935967286,35
requir,0.01527805395947514,36
differ,0.01481060020065325,37
control,0.014798855576815406,38
simul,0.0146786405925624,39
evalu,0.014618672302189918,40
comput,0.01445850334744356,41
reliabl,0.01436384289408951,42
new,0.014314063955927768,43
implement,0.014236852447566338,44
also,0.014153385643844359,45
toler,0.013802973085048343,46
problem,0.013721897067383823,47
defect,0.013638621568652731,48
failur,0.013534622139617458,49
code,0.013452086731563975,50
two,0.013113945220416735,51
high,0.013108921723794558,52
case,0.013100163062604312,53
level,0.012915920554899832,54
oper,0.012811598545133052,55
inform,0.012744802353488517,56
estim,0.012716706545862119,57
tool,0.012645830558778947,58
program,0.01255993068678292,59
one,0.012508634330774362,60
servic,0.012500171186481444,61
set,0.012083761758460125,62
function,0.01199189018371867,63
distribut,0.011884871213945805,64
assess,0.011782454782438187,65
metric,0.01157473639223261,66
compon,0.011570304775109216,67
describ,0.011557167764622449,68
appli,0.011531413838643149,69
power,0.011444622400398426,70
number,0.011408841750480956,71
complex,0.011286273274940053,72
architectur,0.011274171784187968,73
work,0.0111087068365563,74
experi,0.011102469615433888,75
real,0.011101607474628102,76
import,0.011015336810960017,77
correct,0.01095581920306511,78
compar,0.010902880411010393,79
manag,0.010847796549334956,80
effici,0.010754512943828558,81
order,0.010710676015733759,82
current,0.010699574087307201,83
research,0.010665729967205915,84
cost,0.010571876638615915,85
specif,0.010422429144397801,86
project,0.010324120276745277,87
support,0.009963251500436136,88
exist,0.00980148588038556,89
analyz,0.009790832360477288,90
howev,0.009766969005383168,91
need,0.009687051670491588,92
hardwar,0.00966720218185719,93
product,0.009645840877922293,94
larg,0.00960283024394346,95
increas,0.009598610348646027,96
sever,0.009593265129394641,97
well,0.009525917900568738,98
depend,0.009500667289898202,99
experiment,0.009439598066338442,100
