Top 50 TF-IDF features by Chi-squared test:
============================================================
Rank   Feature                        Chi2_Score  
------------------------------------------------------------
1      predictor                      209.962949  
2      predict                        97.136226   
3      metric                         79.858444   
4      chidamb                        74.281943   
5      kemer                          70.886877   
6      prone                          69.263661   
7      nasa                           65.083580   
8      churn                          60.407816   
9      dataset                        60.097346   
10     defect                         53.676385   
11     modul                          52.118783   
12     naiv                           42.124095   
13     empir                          41.913503   
14     regress                        41.502873   
15     ssm                            37.528266   
16     bay                            33.529013   
17     logist                         32.833615   
18     cgbr                           32.534389   
19     releas                         32.520765   
20     pessim                         32.107098   
21     fenton                         31.695175   
22     ohlsson                        31.695175   
23     chum                           31.310550   
24     ranker                         31.205141   
25     class                          31.190059   
26     postreleas                     29.477058   
27     c3                             29.194275   
28     kc1                            27.166177   
29     imbalanc                       27.102482   
30     journal                        27.056624   
31     oo                             26.391710   
32     cart                           26.353433   
33     auc                            25.296924   
34     ck                             23.955434   
35     bn                             23.048242   
36     pc1                            23.032412   
37     grail                          22.301052   
38     holi                           22.301052   
39     repositori                     22.032629   
40     undisput                       21.826430   
41     rup                            21.766245   
42     71                             21.163584   
43     debat                          20.410563   
44     binomi                         20.300084   
45     project                        19.610346   
46     public                         19.567762   
47     stratif                        19.478434   
48     misclassif                     19.457850   
49     qmood                          19.385613   
50     learn                          19.170428   
