Top 100 TF-IDF features by Chi2+SVC coefficients:
============================================================
Rank   Feature                        SVC_Coeff   
------------------------------------------------------------
1      postreleas                     0.079782    
2      prereleas                      0.077564    
3      softwar                        0.067156    
4      predict                        0.050668    
5      studi                          0.050013    
6      research                       0.047089    
7      articl                         0.047039    
8      faulti                         0.040335    
9      better                         0.038927    
10     believ                         0.033564    
11     review                         0.033224    
12     seem                           0.030472    
13     prone                          0.029970    
14     empir                          0.029742    
15     largest                        0.028660    
16     public                         0.028462    
17     200                            0.026702    
18     skew                           0.025997    
19     data                           0.024734    
20     2003                           0.024564    
21     object                         0.024420    
22     versu                          0.023577    
23     industri                       0.023441    
24     nasa                           0.023335    
25     sourc                          0.022366    
26     defect                         0.022256    
27     predictor                      0.022239    
28     compani                        0.022132    
29     halstead                       0.021732    
30     train                          0.021723    
31     project                        0.021704    
32     binomi                         0.020299    
33     rank                           0.020061    
34     learn                          0.019690    
35     quad                           0.019326    
36     undisput                       0.019235    
37     23                             0.018682    
38     statist                        0.018635    
39     unnecessarili                  0.018625    
40     class                          0.018570    
41     lad                            0.017992    
42     recaptur                       0.017271    
43     rbbag                          0.017254    
44     roughli                        0.016947    
45     weekli                         0.016423    
46     lifecycl                       0.016415    
47     churn                          0.016186    
48     breadth                        0.015802    
49     mccabe                         0.015774    
50     invest                         0.015526    
51     cmm                            0.015332    
52     judgement                      0.015327    
53     histori                        0.014841    
54     103                            0.014548    
55     repositori                     0.014515    
56     sap                            0.014512    
57     bay                            0.014392    
58     ics                            0.014151    
59     bn                             0.014101    
60     morph                          0.013962    
61     set                            0.013860    
62     chidamb                        0.013856    
63     74                             0.013774    
64     inherit                        0.013698    
65     decay                          0.013601    
66     debat                          0.013548    
67     relationship                   0.013397    
68     grnn                           0.013363    
69     mbt                            0.013351    
70     mood                           0.013233    
71     c3                             0.012988    
72     unlabel                        0.012873    
73     1994                           0.012805    
74     rvc                            0.012792    
75     likewis                        0.012624    
76     earli                          0.012533    
77     file                           0.012491    
78     rup                            0.012442    
79     auc                            0.012275    
80     prior                          0.012250    
81     publicli                       0.012246    
82     pessim                         0.012181    
83     msr                            0.012087    
84     cart                           0.012045    
85     aic                            0.012005    
86     chum                           0.011925    
87     coupl                          0.011619    
88     build                          0.011579    
89     orient                         0.011528    
90     ssm                            0.011512    
91     boost                          0.011301    
92     multivari                      0.011236    
93     1993                           0.011176    
94     refere                         0.011140    
95     imbal                          0.011045    
96     model                          0.010832    
97     pf                             0.010790    
98     optima                         0.010676    
99     71                             0.010664    
100    bag                            0.010660    
