feature,score,rank
prereleas,0.1729312239131775,1
postreleas,0.16068951402802978,2
predict,0.03700341904658022,3
studi,0.03508577320290327,4
softwar,0.027184356007968674,5
prone,0.02404967498271642,6
empir,0.02144231068751037,7
defect,0.020532535484128932,8
public,0.019869805087122754,9
nasa,0.019703647712663724,10
predictor,0.0186717448934643,11
learn,0.017028913895403123,12
project,0.016947070780290823,13
class,0.015472306658910723,14
undisput,0.01544769534037844,15
journal,0.015395380729458162,16
23,0.014936665271796176,17
file,0.014394147667287019,18
chidamb,0.014277903790044066,19
103,0.012774142908970606,20
c3,0.012602660381053121,21
binomi,0.012441329368107974,22
roughli,0.012338628124224498,23
bn,0.012005923458348979,24
unnecessarili,0.011728952767945434,25
churn,0.011706803101544407,26
debat,0.01153139915040796,27
rup,0.011515870947733844,28
histori,0.011374092961739154,29
lad,0.0113410949717699,30
imbalanc,0.011093448598018795,31
2003,0.011033261577744393,32
1993,0.010902708947575078,33
ranker,0.010774387851029665,34
ics,0.01077260110674069,35
publicli,0.010362421499821035,36
naiv,0.010173622722933645,37
pessim,0.010033824506441047,38
metric,0.009980815985496896,39
morph,0.009767681692603279,40
rvc,0.009764058132241672,41
cart,0.009664992095844354,42
rank,0.009578063920602606,43
71,0.009433861129111093,44
aic,0.009169886722887634,45
inherit,0.009149197169744988,46
unlabel,0.00895349045200403,47
auc,0.008911141543758432,48
grnn,0.008909708126511592,49
msr,0.008809045408354279,50
