feature,score,rank
predict,0.011920237807451883,1
softwar,0.007540629946006239,2
metric,0.006857238949957267,3
predictor,0.006312049726024949,4
prone,0.006307758418069631,5
empir,0.0052732061193148105,6
defect,0.0052370882086426596,7
studi,0.004618784464902936,8
regress,0.003780210579201304,9
modul,0.0037447139500709214,10
data,0.0032015849597871737,11
learn,0.003093373851986825,12
use,0.0024294197016068164,13
qualiti,0.002396974445884381,14
research,0.0023949213694172133,15
nasa,0.0023042688361880614,16
fault,0.0022574178292904534,17
number,0.002203094457783994,18
climat,0.002161646691835495,19
gbit,0.0021316193355856994,20
acquisit,0.0021038577613957665,21
perform,0.0021034970028962485,22
mlc,0.002097843861947446,23
logist,0.0020939093822693877,24
bobbin,0.002079304076680888,25
text,0.0020780171294371153,26
attribut,0.0020481569707894165,27
inject,0.0020180428193229405,28
hostil,0.00199756643424176,29
project,0.001984953828082725,30
natur,0.001981067622601196,31
public,0.001955507391287137,32
shanghai,0.0019523227889309824,33
statist,0.0019507075478329972,34
unchang,0.0019310003652337482,35
survivor,0.001926118071380989,36
model,0.00191980205471165,37
influenc,0.0019114519419811682,38
1998,0.00191094906668976,39
mileston,0.001895232375985323,40
foot,0.0018935457058385508,41
norwegian,0.0018934873639111505,42
nist,0.0018838347958979318,43
fiber,0.001883568114682821,44
anomali,0.0018751226307859303,45
textur,0.001866719765747149,46
show,0.0018617086781507197,47
vdc,0.001851573239782911,48
greatli,0.0018428095616912499,49
intervent,0.0018371095255960146,50
